id,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
453,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,Beginner,12000
16,Finance & Quantitative Modeling for Analysts,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,260000
257,Finance for Non-Finance Professionals,Rice University,COURSE,4.8,Beginner,69000
778,Finance for Non-Financial Managers,Emory University,COURSE,4.4,Intermediate,12000
85,Financial Accounting Fundamentals,University of Virginia,COURSE,4.8,Beginner,65000
396,Financial Acumen for Non-Financial Managers,University of Pennsylvania,COURSE,4.5,Beginner,10000
158,Financial Engineering and Risk Management Part I,Columbia University,COURSE,4.6,Mixed,100000
149,Financial Management,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,76000
14,Financial Markets,Yale University,COURSE,4.8,Beginner,470000
259,Financial Markets and Investment Strategy,Indian School of Business,SPECIALIZATION,4.5,Beginner,60000
682,Financial Reporting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,Intermediate,12000
356,Financial Technology (Fintech) Innovations,University of Michigan,SPECIALIZATION,4.7,Beginner,6500
382,Financing and Investing in Infrastructure,Università Bocconi,COURSE,4.8,Mixed,24000
366,Finanzas corporativas,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Intermediate,30000
552,Finanzas personales,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,310000
109,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,Beginner,36000
66,Fintech: Foundations & Applications of Financial Technology,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,20000
113,First Step Korean,Yonsei University,COURSE,4.9,Beginner,400000
102,Food & Beverage Management,Università Bocconi,COURSE,4.8,Mixed,57000
174,Forensic Accounting and Fraud Examination,West Virginia University,COURSE,4.7,Mixed,42000
851,Formulación y evaluación de proyectos complejos,Universidad de los Andes,COURSE,4.9,Intermediate,4400
337,Foundational Finance for Strategic Decision Making,University of Michigan,SPECIALIZATION,4.8,Beginner,14000
721,Foundations of Business Strategy,University of Virginia,COURSE,4.8,Beginner,63000
775,Foundations of Everyday Leadership,University of Illinois at Urbana-Champaign,COURSE,4.8,Mixed,62000
313,Foundations of Global Health,Johns Hopkins University,SPECIALIZATION,4.7,Beginner,31000
209,Foundations of Management,IESE Business School,SPECIALIZATION,4.8,Beginner,64000
569,Foundations of Marketing Analytics,Emory University,SPECIALIZATION,4.2,Intermediate,27000
32,Foundations of Positive Psychology,University of Pennsylvania,SPECIALIZATION,4.8,Beginner,89000
521,Foundations of Public Health Practice,Imperial College London,SPECIALIZATION,4.8,Beginner,3200
203,From Data to Insights with Google Cloud Platform,Google Cloud,SPECIALIZATION,4.6,Beginner,26000
698,From the Big Bang to Dark Energy,The University of Tokyo,COURSE,4.8,Beginner,52000
863,Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45000
501,Front-End Web UI Frameworks and Tools: Bootstrap 4,The Hong Kong University of Science and Technology,COURSE,4.8,Intermediate,89000
108,Full Stack Web and Multiplatform Mobile App Development,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,150000
89,Full-Stack Web Development with React,The Hong Kong University of Science and Technology,SPECIALIZATION,4.7,Intermediate,140000
790,Functional Programming Principles in Scala,École Polytechnique Fédérale de Lausanne,COURSE,4.8,Intermediate,170000
150,Functional Programming in Scala,École Polytechnique Fédérale de Lausanne,SPECIALIZATION,4.7,Intermediate,220000
441,Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,COURSE,4.6,Beginner,30000
295,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.6,Beginner,39000
164,Fundamentals of Computing,Rice University,SPECIALIZATION,4.8,Beginner,200000
581,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,COURSE,4.7,Mixed,49000
425,Fundamentals of GIS,"University of California, Davis",COURSE,4.8,Beginner,86000
162,Fundamentals of Graphic Design,California Institute of the Arts,COURSE,4.8,Beginner,290000
130,Fundamentals of Immunology,Rice University,SPECIALIZATION,4.7,Intermediate,20000
415,Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,COURSE,4.7,Intermediate,18000
633,Fundamentals of Music Theory,The University of Edinburgh,COURSE,4.6,Beginner,180000
77,Fundamentals of Project Planning and Management,University of Virginia,COURSE,4.7,Beginner,120000
165,Fundamentals of Quantitative Modeling,University of Pennsylvania,COURSE,4.6,Mixed,110000
475,Fundamentals of Reinforcement Learning,University of Alberta,COURSE,4.8,Intermediate,22000
520,Fundamentals of Visualization with Tableau,"University of California, Davis",COURSE,4.5,Beginner,81000
742,Fundamentos Empresariales,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,25000
857,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56000
724,Fundamentos de Excel para Negocios,Universidad Austral,COURSE,4.7,Beginner,150000
388,Fundamentos de Finanzas Empresariales,Universidad de los Andes,COURSE,4.8,Beginner,110000
705,Fundamentos de la escritura,Tecnológico de Monterrey,COURSE,4.6,Beginner,47000
370,Fundraising and Development,"University of California, Davis",SPECIALIZATION,4.6,Beginner,4900
145,Futures Thinking,Institute for the Future,SPECIALIZATION,4.8,Beginner,9400
115,G Suite Administration,Google Cloud,SPECIALIZATION,4.7,Beginner,10000
286,"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140000
206,Game Design and Development,Michigan State University,SPECIALIZATION,4.7,Intermediate,100000
141,Game Theory,Stanford University,COURSE,4.6,Beginner,260000
268,Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110000
802,Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,COURSE,4.7,Beginner,14000
76,Genomic Data Science,Johns Hopkins University,SPECIALIZATION,4.4,Intermediate,80000
79,Geographic Information Systems  (GIS),"University of California, Davis",SPECIALIZATION,4.8,Beginner,97000
694,Geopolitics of Europe,Sciences Po,COURSE,4.3,Mixed,19000
567,Geopolítica y gobernanza global: riesgos y oportunidades,ESADE Business and Law School,COURSE,4.8,Mixed,34000
650,Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,COURSE,4.7,Mixed,47000
540,Get Interactive: Practical Teaching with Technology,Bloomsbury Learning Exchange,COURSE,4.7,Beginner,14000
681,Getting Started With Music Theory,Michigan State University,COURSE,4.5,Beginner,59000
568,Getting Started with AWS Machine Learning,Amazon Web Services,COURSE,4.5,Intermediate,73000
734,Getting Started with Go,"University of California, Irvine",COURSE,4.6,Intermediate,59000
422,Getting Started with Google Kubernetes Engine,Google Cloud,COURSE,4.5,Intermediate,75000
411,Getting Started with Google Sheets,Google Cloud,COURSE,4.6,Beginner,18000
538,Getting Started with SAS Programming,SAS,COURSE,4.9,Beginner,22000
192,Global Diplomacy – Diplomacy in the Modern World,SOAS University of London,COURSE,4.6,Mixed,79000
400,Global Diplomacy: the United Nations in the World,SOAS University of London,COURSE,4.7,Beginner,29000
643,Global Energy and Climate Policy,SOAS University of London,COURSE,4.5,Beginner,10000
578,Global Environmental Management,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,22000
835,Global Financial Markets and Instruments,Rice University,COURSE,4.6,Mixed,37000
761,Global Financing Solutions  (by EDHEC and Société Générale),EDHEC Business School,COURSE,4.6,Intermediate,3600
740,Global Trends for Business and Society,University of Pennsylvania,COURSE,4.8,Mixed,7600
717,"Globalization, Economic Growth and Stability",IE Business School,SPECIALIZATION,4.8,Intermediate,44000
355,Good with Words: Writing and Editing,University of Michigan,SPECIALIZATION,4.6,Beginner,3800
227,Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,COURSE,4.6,Intermediate,120000
849,Google Cloud Platform Fundamentals for AWS Professionals,Google Cloud,COURSE,4.7,Intermediate,36000
25,Google IT Automation with Python,Google,PROFESSIONAL CERTIFICATE,4.7,Beginner,93000
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,Beginner,350000
385,Grammar and Punctuation,"University of California, Irvine",COURSE,4.7,Mixed,430000
513,Graphic Design Elements for Non-Designers,University of Colorado Boulder,SPECIALIZATION,4.7,Beginner,10000
287,Greek and Roman Mythology,University of Pennsylvania,COURSE,4.8,Mixed,260000
369,Greening the Economy: Sustainable Cities,Lund University,COURSE,4.6,Beginner,56000
757,Guitar for Beginners,Berklee College of Music,COURSE,4.8,Mixed,210000
